0,proteyousa elladas,a. athina,b.kalamata,c.thesalloniki,d.drama,1
1,proteyousa potrogalias,a. athina,b.potro,c.lisavona,d.italia,3
2,proteyousa ispanias,a.potro,b.kalamata,c.madriti,d.parisi,3
3,proteyousa galias,a. athina,b.parisi,c.ispania,d.monaxo,2
4,proteyousa italia,a.romi,b.florentia,c.venetia,d.milano,1
5,proteyousa germanias,a.monaxo,b.berolino,c.bremi,d.amvougro,2
6,proteyousa  velgio,a.brixeles,b.mpriz,c.ostendi,d.liegi,1
7,proteyousa  agglias,a.londino,b.mantzister,c.liverpool,d.mpristol,1
8,proteyousa  tourkia,a.konstninoupoli,b.attalia,c.agkyra,d.proysa,3
9,proteyousa  kyproy,a.lemesos,b.leykosia,c.pafos,d.latsi,2
